OBJECTID,Shape,name,telephone,url,streetAddress,streetAddress/address2,addressLocality,postalCode,loc,longitude,latitude,entityTitle,@context,@type,@id
1,"(40.703816550000056, -74.01375579499995)",Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn, ,New York,10004,"[-74.01375579499995,40.703816550000056]",-74.01375579499995,40.703816550000056,alexander_hamilton_u_s_custom_house_1_bowling_grn,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/alexander_hamilton_u_s_custom_house_1_bowling_grn
2,"(40.615121171000055, -74.06303178799993)",Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd, ,Staten Island,10305,"[-74.06303178799993,40.615121171000055]",-74.06303178799993,40.615121171000055,alice_austen_house_museum_2_hylan_blvd,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/alice_austen_house_museum_2_hylan_blvd
3,"(40.83385383400008, -73.94729768499991)",American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St., ,New York,10032,"[-73.94729768499991,40.83385383400008]",-73.94729768499991,40.83385383400008,american_academy_of_arts_and_letters_633_w_155th_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_academy_of_arts_and_letters_633_w_155th_st
4,"(40.76162530600004, -73.97810302099992)",American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street, ,New York,10019,"[-73.97810302099992,40.76162530600004]",-73.97810302099992,40.76162530600004,american_folk_art_museum_45_west_53rd_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_folk_art_museum_45_west_53rd_street
5,"(40.69905659600005, -74.03968483799991)",American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island, ,New York,0,"[-74.03968483799991,40.69905659600005]",-74.03968483799991,40.69905659600005,american_immigration_history_center_ellis_island,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_immigration_history_center_ellis_island
6,"(40.78082656700008, -73.97364816499993)",American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street, ,New York,10024,"[-73.97364816499993,40.78082656700008]",-73.97364816499993,40.78082656700008,american_museum_of_natural_history_central_park_west_at_79th_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_museum_of_natural_history_central_park_west_at_79th_street
7,"(40.723526925000044, -74.00701187899995)",American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St, 11th Floor,New York,10013,"[-74.00701187899995,40.723526925000044]",-74.00701187899995,40.723526925000044,american_numismatic_society_75_varick_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_numismatic_society_75_varick_st
8,"(40.76882456300007, -73.96597045099992)",Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave., ,New York,10021,"[-73.96597045099992,40.76882456300007]",-73.96597045099992,40.76882456300007,americas_society_680_park_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/americas_society_680_park_ave
9,"(40.72112778300004, -73.99963036799994)",Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street, 5th Floor,New York,10012,"[-73.99963036799994,40.72112778300004]",-73.99963036799994,40.72112778300004,anne_frank_center_usa_38_crosby_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/anne_frank_center_usa_38_crosby_street
10,"(40.769834116000084, -73.9642839569999)",Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue, ,New York,10021,"[-73.9642839569999,40.769834116000084]",-73.9642839569999,40.769834116000084,asia_society_725_park_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/asia_society_725_park_avenue
11,"(40.83358261600006, -73.94654590499994)",Audubon Terrace, ,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street, ,New York,10032,"[-73.94654590499994,40.83358261600006]",-73.94654590499994,40.83358261600006,audubon_terrace_broadway_at_155_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/audubon_terrace_broadway_at_155_street
12,"(40.87177865100006, -73.80557949899992)",Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road, Pelham Bay Park,Bronx,10464,"[-73.80557949899992,40.87177865100006]",-73.80557949899992,40.87177865100006,bartow_pell_mansion_895_shore_road,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/bartow_pell_mansion_895_shore_road
13,"(40.76288666600004, -73.82489046299992)",Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street, ,Queens,11354,"[-73.82489046299992,40.76288666600004]",-73.82489046299992,40.76288666600004,bowne_house_37_01_bowne_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/bowne_house_37_01_bowne_street
14,"(40.87823677400007, -73.8797487409999)",Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave, ,Bronx,10467,"[-73.8797487409999,40.87823677400007]",-73.8797487409999,40.87823677400007,bronx_historical_society_musem_3309_bainbridge_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/bronx_historical_society_musem_3309_bainbridge_ave
